,RegisterPage,JPEGNum,EntryNum,Title,First Name,Last Name,City,Occupation,drYear,drMonth,drDay,drNo,drTitle,drFirst,drLast,drNo2,DollarAmt,CentAmt,crYear,crMonth,crDay,crNo,crTitle,crFirst,crLast,crNo2,crDollarAmt,crCentAmt,Note
139,31.0,46.0,93.0,,Nathan,Angel,Providence,Merchant,1792.0,11.0,24.0,,,Benjamin and Jaazaniah,Bussey,103.0,1333.0,73.0,1792.0,1.0,1.0,93.0,,Funded 3 percent stock assumed debt,,32.0,738.0,74.0,
140,31.0,46.0,93.0,,Nathan,Angel,Providence,Merchant,,,,,,,,,,,1792.0,1.0,1.0,244.0,,Funded 3 percent stock assumed debt,,83.0,594.0,99.0,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,1333.0,73.0,
142,31.0,46.0,94.0,,Amos,Throop,Providence,Physician,1795.0,6.0,3.0,,,Nicholas,Cooke,601.0,147.0,98.0,1792.0,1.0,1.0,94.0,,Funded 3 percent stock assumed debt,,33.0,147.0,98.0,
143,32.0,47.0,95.0,,Christopher,Olney,Providence,Esquire,1792.0,6.0,11.0,,,Jeremiah,Olney,100.0,21.0,52.0,1792.0,1.0,1.0,95.0,,Funded 3 percent stock assumed debt,,33.0,21.0,52.0,
144,32.0,47.0,96.0,,Benjamin,Siexas,New York,Merchant,1792.0,1.0,12.0,,,Certificate number 3 transferred to the office of John Cochran Commissioner of loans for the State of New York,,97.0,3179.0,27.0,1792.0,1.0,1.0,96.0,,Funded 3 percent stock assumed debt,,33.0,1036.0,42.0,
145,32.0,47.0,96.0,,Benjamin,Siexas,New York,Merchant,1792.0,3.0,14.0,,,Certificate number 35 transferred to the office of John Cochran Commissioner of loans for the State of New York,,165.0,99.0,89.0,,,,101.0,,Funded 3 percent stock assumed debt,,35.0,227.0,,
146,32.0,47.0,96.0,,Benjamin,Siexas,New York,Merchant,,,,,,,,,,,,,,,,George,Champlin,96.0,126.0,97.0,
147,32.0,47.0,96.0,,Benjamin,Siexas,New York,Merchant,,,,,,,,,,,,,,,,Samuel,Fowler,97.0,718.0,38.0,
148,32.0,47.0,96.0,,Benjamin,Siexas,New York,Merchant,,,,,,,,,,,,,,,,George,Gibbs,97.0,1070.0,50.0,
149,32.0,47.0,96.0,,Benjamin,Siexas,New York,Merchant,,,,,,,,,,,,,,,,,,,3179.0,27.0,
150,32.0,47.0,96.0,,Benjamin,Siexas,New York,Merchant,,,,,,,,,,,,,,,,Elizabeth,Hammond,165.0,26.0,51.0,
151,32.0,47.0,96.0,,Benjamin,Siexas,New York,Merchant,,,,,,,,,,,,,,,,Clark and Hammonds,,165.0,73.0,38.0,
152,32.0,47.0,96.0,,Benjamin,Siexas,New York,Merchant,,,,,,,,,,,,,,,,,,,99.0,89.0,
153,32.0,47.0,97.0,,Archibald,Munro,Bristol,Treasurer of the Catholic society,1795.0,10.0,27.0,,Junior,Richard,Smith,,514.0,81.0,1792.0,1.0,1.0,97.0,,Funded 3 percent stock assumed debt,,34.0,514.0,81.0,
154,33.0,48.0,98.0,,William,Bryan,Raynham State of Massachusetts,,1793.0,9.0,2.0,,,William,Hall,102.0,39.0,99.0,1792.0,1.0,1.0,98.0,,Funded 3 percent stock assumed debt,,34.0,39.0,99.0,
155,33.0,48.0,99.0,,Nathaniel,Shaler,Middletown,Connecticut,1792.0,4.0,26.0,,,Certificate number 47 transferred to the office of John Cochran Commissioner of loans for the State of New York,,204.0,457.0,17.0,1792.0,1.0,1.0,99.0,,Funded 3 percent stock assumed debt,,34.0,457.0,17.0,
156,33.0,48.0,100.0,,William,Battey,Warwick,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,100.0,,Funded 3 percent stock assumed debt,,35.0,107.0,57.0,
157,34.0,49.0,102.0,,Mary,Dexter,Glocester,Spinster,1792.0,9.0,1.0,,,Jabez,Bowen,3.0,5.0,20.0,1792.0,1.0,1.0,102.0,,Funded 3 percent stock assumed debt,,35.0,5.0,20.0,
158,34.0,49.0,103.0,,Nathan,Grosvenor,Pomfret,Yeoman,1792.0,4.0,14.0,,,Izrahiah,Witmore,98.0,47.0,42.0,1792.0,1.0,1.0,103.0,,Funded 3 percent stock assumed debt,,36.0,47.0,42.0,
159,34.0,49.0,104.0,,John Coffin,Jones,Boston,Esquire,1792.0,7.0,13.0,,,Certificate number 65 transferred to the office of Nathaniel Appleton Commissioner for Massachusetts,,280.0,50.0,5.0,1792.0,1.0,1.0,104.0,,Funded 3 percent stock assumed debt,,36.0,50.0,5.0,
160,35.0,50.0,105.0,,Pelaliah,Mason,Killingley,Yeoman,1793.0,3.0,2.0,,,Stephen,Bullock,106.0,106.0,70.0,1792.0,1.0,1.0,105.0,,Funded 3 percent stock assumed debt,,36.0,106.0,70.0,
161,35.0,50.0,106.0,,John,Chase,Providence,Administrator to the Estate of Samuel Chase Jun,1793.0,8.0,15.0,,Junior,Nathan,Angell,108.0,90.0,48.0,1792.0,1.0,1.0,106.0,,Funded 3 percent stock assumed debt,,37.0,90.0,48.0,
162,35.0,50.0,107.0,,John Ward and co.,,Providence,Merchant,,,,,,Amount of credit carried to page 97,,,1850.0,95.0,1792.0,1.0,1.0,107.0,,Funded 3 percent stock assumed debt,,37.0,529.0,22.0,
163,35.0,50.0,107.0,,John Ward and co.,,Providence,Merchant,,,,,,,,,,,,,,122.0,,Funded 3 percent stock assumed debt,,42.0,219.0,64.0,
164,35.0,50.0,107.0,,John Ward and co.,,Providence,Merchant,,,,,,,,,,,,,,,,John,Dorrance,117.0,128.0,45.0,
165,35.0,50.0,107.0,,John Ward and co.,,Providence,Merchant,,,,,,,,,,,,,,,,Henry,Smith,118.0,54.0,63.0,
166,35.0,50.0,107.0,,John Ward and co.,,Providence,Merchant,,,,,,,,,,,,,,,,James,Congdon,,136.0,7.0,
167,35.0,50.0,107.0,,John Ward and co.,,Providence,Merchant,,,,,,,,,,,,,,,,Stephen,Tillinghast,119.0,396.0,38.0,
168,35.0,50.0,107.0,,John Ward and co.,,Providence,Merchant,,,,,,,,,,,,,,,,Benjamin,Hall,,303.0,76.0,
169,35.0,50.0,107.0,,John Ward and co.,,Providence,Merchant,,,,,,,,,,,,,,,,Laban,Waterman,120.0,8.0,93.0,
170,35.0,50.0,107.0,,John Ward and co.,,Providence,Merchant,,,,,,,,,,,,,,,,Chris,Ellery,161.0,73.0,87.0,
171,,,,,,,,,,,,,,,,,,,,,,,,Carried to page 97,,,1850.0,95.0,
172,36.0,51.0,108.0,,Samuel,Vernon,Newport,Esquire,,,,,,,,,,,1792.0,1.0,1.0,108.0,,Funded 3 percent stock assumed debt,,37.0,405.0,36.0,
173,36.0,51.0,109.0,,Caleb,Godfrey,Providence,Mariner,,,,,,,,,,,1792.0,1.0,1.0,109.0,,Funded 3 percent stock assumed debt,,38.0,9.0,79.0,
174,36.0,51.0,110.0,,Moses,Brown,Providence,Esquire,1792.0,11.0,24.0,,,Andrew,Spooner,75.0,156.0,3.0,1792.0,1.0,1.0,110.0,,Funded 3 percent stock assumed debt,,38.0,156.0,3.0,
175,36.0,51.0,110.0,,Moses,Brown,Providence,Esquire,1793.0,7.0,1.0,,,Moses and Nicholas,Brown,24.0,92.0,55.0,,,,,,Brown and Francis,,106.0,1794.0,29.0,
176,36.0,51.0,110.0,,Moses,Brown,Providence,Esquire,,,,,,Balance due from the Uniter States,,,1794.0,29.0,,,,,,,,,1950.0,32.0,
177,36.0,51.0,110.0,,Moses,Brown,Providence,Esquire,,,,,,,,,2042.0,87.0,1792.0,7.0,20.0,,,Azariah,Hide,285.0,92.0,55.0,
178,36.0,51.0,110.0,,Moses,Brown,Providence,Esquire,,,,,,,,,,,,,,,,William,Bradford,,,,
179,36.0,51.0,110.0,,Moses,Brown,Providence,Esquire,,,,,,,,,,,,,,,,,,,2042.0,87.0,
180,36.0,51.0,110.0,,Moses,Brown,Providence,Esquire,,,,,,,,,,,,,,,,Balance stock remaining on the books,,,1794.0,29.0,
181,37.0,52.0,111.0,,John,Allen,N Kingston,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,111.0,,Funded 3 percent stock assumed debt,,38.0,19.0,81.0,
182,37.0,52.0,112.0,,Gad,Hitchcock,Pembroke State of Massachusetts,,1796.0,10.0,1.0,,,Certificate number 176 for transferring to the office in Massachusetts,,,55.0,24.0,1792.0,1.0,1.0,112.0,,Funded 3 percent stock assumed debt,,39.0,55.0,24.0,
183,37.0,52.0,113.0,,Pardon,Briggs,Cranstone,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,113.0,,Funded 3 percent stock assumed debt,,39.0,51.0,14.0,
184,38.0,53.0,114.0,,John,Child,Warren,Esquire,1792.0,11.0,2.0,,,John Ward and co.,,97.0,23.0,38.0,1792.0,1.0,1.0,114.0,,Funded 3 percent stock assumed debt,,39.0,23.0,38.0,
185,38.0,53.0,115.0,,Zachariah,Allen,Providence,Merchant,,,,,,,,,,,1792.0,1.0,1.0,115.0,,Funded 3 percent stock assumed debt,,40.0,286.0,19.0,
186,38.0,53.0,115.0,,Zachariah,Allen,Providence,Merchant,,,,,,,,,,,1796.0,9.0,8.0,,,Archibald,Stewart,9.0,8.0,27.0,
187,,,,,,,,,,,,,,,,,,,,,,,,Archibald,Stewart,,294.0,46.0,
188,38.0,53.0,116.0,,John,Manchester,Little Campton,,1792.0,10.0,25.0,,,John,Jackson,103.0,18.0,53.0,1792.0,1.0,1.0,116.0,,Funded 3 percent stock assumed debt,,40.0,18.0,53.0,
189,39.0,55.0,117.0,,Benjamin,Seabury,,,1792.0,5.0,10.0,,2nd,John,Thurber,99.0,28.0,77.0,1792.0,1.0,1.0,117.0,,Funded 3 percent stock assumed debt,,40.0,28.0,77.0,
190,39.0,55.0,118.0,,Samuel,Tefft,Richmond,Yeoman,1796.0,3.0,1.0,,,Jabez,Bowen,624.0,6.0,75.0,1792.0,1.0,1.0,118.0,,Funded 3 percent stock assumed debt,,41.0,6.0,75.0,
191,39.0,55.0,119.0,,Jeremiah,Jenckes,Newport State of New Hampshire,,1792.0,9.0,1.0,,,Jabez,Bowen,3.0,1.0,99.0,1792.0,1.0,1.0,119.0,,Funded 3 percent stock assumed debt,,41.0,1.0,99.0,
192,40.0,56.0,120.0,,Ezekiel,Tefft,,,,,,,,,,,,,1792.0,1.0,1.0,120.0,,Funded 3 percent stock assumed debt,,41.0,5.0,41.0,
193,40.0,56.0,121.0,,Silas,Williams,Glocester,Esquire,,,,,,,,,,,1792.0,1.0,1.0,121.0,,Funded 3 percent stock assumed debt,,42.0,24.0,78.0,
194,40.0,56.0,123.0,,Samuel,Nightingale,The Congre Benevolent Scoity of Providence,,1796.0,8.0,20.0,,,Benjamin,Joy,8.0,73.0,62.0,1792.0,1.0,1.0,123.0,,Funded 3 percent stock assumed debt,,42.0,73.0,62.0,
195,41.0,57.0,124.0,,Jabez,Dennison,,,,,,,,,,,,,1792.0,1.0,1.0,124.0,,Funded 3 percent stock assumed debt,,43.0,10.0,,
196,41.0,57.0,125.0,,John,Warner,Weatherfield,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,125.0,,Funded 3 percent stock assumed debt,,43.0,27.0,18.0,
197,41.0,57.0,126.0,,John,Dewhurst,New York,Merchant,1792.0,2.0,3.0,,,Certificate number 22 transferred to the office of John Cochran Commissioner of loans for the State of New York,,123.0,206.0,39.0,1792.0,1.0,1.0,126.0,,Funded 3 percent stock assumed debt,,43.0,206.0,39.0,
198,42.0,58.0,127.0,,Philip,Allen,Providence,Merchant,,,,,,,,,,,1792.0,1.0,1.0,127.0,,Funded 3 percent stock assumed debt,,44.0,653.0,69.0,
199,42.0,58.0,128.0,,Josiah,Waterman,Johnstone,Esquire,,,,,,,,,,,1792.0,1.0,1.0,128.0,,Funded 3 percent stock assumed debt,,44.0,25.0,27.0,
200,42.0,58.0,129.0,,John,Mumford,Lyme State of Connecticut,,1796.0,1.0,16.0,,,Elias,Perkins,619.0,115.0,89.0,1792.0,1.0,1.0,129.0,,Funded 3 percent stock assumed debt,,44.0,115.0,89.0,
201,43.0,59.0,130.0,,John,Carter,Providence,Printer,1793.0,2.0,26.0,,,Hoppin and Snow,,393.0,5.0,14.0,1792.0,1.0,1.0,130.0,,Funded 3 percent stock assumed debt,,45.0,5.0,14.0,
202,43.0,59.0,131.0,,Joseph,Russell,Bedford,Esquire,,,,,,,,,,,1792.0,1.0,1.0,731.0,,Funded 3 percent stock assumed debt,,45.0,300.0,66.0,
203,43.0,59.0,132.0,,Thomas,Church,Dighton,Esquire,1792.0,10.0,25.0,,,John,Jackson,103.0,57.0,40.0,1792.0,1.0,1.0,132.0,,Funded 3 percent stock assumed debt,,45.0,57.0,40.0,
204,44.0,60.0,133.0,,Stephen,Dexter,Providence,Merchant,1792.0,2.0,27.0,,,Joseph,Martin,73.0,846.0,85.0,1792.0,1.0,1.0,133.0,,Funded 3 percent stock assumed debt,,46.0,846.0,85.0,
205,44.0,60.0,134.0,,George,Leonard,Norton,Esquire,1792.0,10.0,22.0,,,Jabez,Bowen,3.0,2.0,43.0,1792.0,1.0,1.0,134.0,,Funded 3 percent stock assumed debt,,46.0,2.0,43.0,
206,44.0,60.0,135.0,,Ruth,Mumford,East Greenwich,Widow,,,,,,,,,,,1792.0,1.0,1.0,135.0,,Funded 3 percent stock assumed debt,,46.0,291.0,28.0,
207,45.0,61.0,136.0,,David,Brown,Ashford State of Connecticut,,,,,,,,,,,,1792.0,1.0,1.0,136.0,,Funded 3 percent stock assumed debt,,47.0,89.0,94.0,
208,45.0,61.0,137.0,,Rebecca,Conant,Ashford,Widow,,,,,,,,,,,1792.0,1.0,1.0,137.0,,Funded 3 percent stock assumed debt,,47.0,89.0,94.0,
209,45.0,61.0,138.0,,Thomas,Arnold,Providence,Merchant,1793.0,10.0,22.0,,,John,Parker,109.0,25.0,13.0,1792.0,1.0,1.0,138.0,,Funded 3 percent stock assumed debt,,47.0,25.0,13.0,
210,46.0,62.0,139.0,,Jonathan,Arnold,Smithfield,Esquire,,,,,,,,,,,1792.0,1.0,1.0,139.0,,Funded 3 percent stock assumed debt,,48.0,32.0,39.0,
211,46.0,62.0,140.0,,Samuel,McLellan,Woodstock,Esquire,,,,,,,,,,,1792.0,1.0,1.0,140.0,,Funded 3 percent stock assumed debt,,48.0,145.0,85.0,
212,46.0,62.0,141.0,,Philip,Paine,Harkarmar State of New York,,1792.0,6.0,5.0,,,Certificate number 54 transferred to the office of Jn Cochran Esq com for New York,,250.0,124.0,59.0,1792.0,1.0,1.0,141.0,,Funded 3 percent stock assumed debt,,48.0,124.0,59.0,
213,47.0,63.0,142.0,Junior,James,Burrill,Providence,,,,,,,,,,,,1792.0,1.0,1.0,142.0,,Funded 3 percent stock assumed debt,,49.0,12.0,55.0,
214,47.0,63.0,142.0,Junior,James,Burrill,Providence,,,,,,,,,,,,1795.0,1.0,1.0,,,Samuel,Eddy,579.0,97.0,55.0,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,10.0,
216,47.0,63.0,143.0,,Jabez,Reynolds,North Kingstone,,1792.0,3.0,14.0,,,Thomas,Vermillya,98.0,477.0,7.0,1792.0,1.0,1.0,143.0,,Funded 3 percent stock assumed debt,,49.0,477.0,7.0,
217,47.0,63.0,144.0,,James,Orne,Attleborough,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,144.0,,Funded 3 percent stock assumed debt,,49.0,22.0,34.0,
218,48.0,64.0,145.0,,Daniel,Whitney,Newport,Merchant,1792.0,3.0,14.0,,,Thomas,Vermillya,98.0,50.0,37.0,1792.0,1.0,1.0,145.0,,Funded 3 percent stock assumed debt,,50.0,50.0,37.0,
219,48.0,64.0,146.0,,Jeremiah,Wheeler,Rehoboth,Yeoman,1797.0,4.0,1.0,,,Stephen Bullock,Guardian,265.0,25.0,3.0,1792.0,1.0,1.0,146.0,,Funded 3 percent stock assumed debt,,50.0,25.0,3.0,
220,48.0,64.0,147.0,,Leonard,Crocker,Taunton,,1793.0,9.0,2.0,,,William,Hall,102.0,20.0,59.0,1792.0,1.0,1.0,147.0,,Funded 3 percent stock assumed debt,,50.0,20.0,59.0,
221,49.0,65.0,148.0,,Clark and Nightingale,,Providence,Merchant,1792.0,2.0,27.0,,,Thomas,Dickason,96.0,3163.0,36.0,1792.0,1.0,1.0,148.0,,Funded 3 percent stock assumed debt,,51.0,2858.0,43.0,
222,49.0,65.0,148.0,,Clark and Nightingale,,Providence,Merchant,,,,,,,,,,,1792.0,4.0,1.0,,,John Ward and co.,,193.0,304.0,93.0,
223,49.0,65.0,148.0,,Clark and Nightingale,,Providence,Merchant,,,,,,,,,,,,,,,,,,,3163.0,36.0,
224,49.0,65.0,148.0,,Clark and Nightingale,,Providence,Merchant,,,,,,,,,,,1792.0,8.0,10.0,,,Funded 3 percent transferred from the office of John Cochran commissioner of New York,,304.0,482.0,70.0,
225,49.0,65.0,148.0,,Clark and Nightingale,,Providence,Merchant,,,,,,,,,,,1793.0,10.0,15.0,,,Sydia,Nightingale,475.0,6.0,21.0,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,488.0,91.0,
227,49.0,65.0,149.0,,William,Walter,Boston,Rev,1792.0,5.0,9.0,,,Joseph,Martin,73.0,995.0,35.0,1792.0,1.0,1.0,149.0,,Funded 3 percent stock assumed debt,,51.0,533.0,2.0,
228,49.0,65.0,149.0,,William,Walter,Boston,Rev,,,,,,,,,,,,,,,,Elisha,Brown,146.0,79.0,26.0,
229,49.0,65.0,149.0,,William,Walter,Boston,Rev,,,,,,,,,,,,,,,,Nicholas,Power,,383.0,7.0,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,995.0,35.0,
231,49.0,65.0,150.0,,Nathaniel,Greene,Hudson,,1792.0,7.0,23.0,,,Nathan,Bond,101.0,227.0,92.0,1792.0,1.0,1.0,150.0,,Funded 3 percent stock assumed debt,,51.0,227.0,92.0,
232,50.0,66.0,152.0,,Rufus,Hopkins,Scituate,Esquire,,,,,,,,,,,1792.0,1.0,1.0,152.0,,Funded 3 percent stock assumed debt,,52.0,70.0,14.0,
233,50.0,66.0,153.0,,Elizabeth,Olney,Scituate,Spinster,1792.0,8.0,10.0,,,William N,Rhodes,97.0,11.0,21.0,1792.0,1.0,1.0,153.0,,Funded 3 percent stock assumed debt,,52.0,11.0,21.0,
234,50.0,66.0,154.0,,Baptist Benevolent Society,,Warren,,,,,,,,,,,,1792.0,1.0,1.0,154.0,,Funded 3 percent stock assumed debt,,53.0,179.0,64.0,
235,51.0,67.0,155.0,,John,Murray,Alexandria,Merchant,1796.0,10.0,1.0,,,Certificate number 179 for transferring to the office in New York,,,94.0,62.0,1792.0,1.0,1.0,155.0,,Funded 3 percent stock assumed debt,,53.0,94.0,62.0,
236,51.0,67.0,156.0,,Isaac,Senter,Newport,Physician,,,,,,,,,,,1792.0,1.0,1.0,156.0,,Funded 3 percent stock assumed debt,,53.0,23.0,94.0,
237,51.0,67.0,157.0,,Rufus,Waterman,Providence,Merchant,,,,,,,,,,,1792.0,1.0,1.0,157.0,,Funded 3 percent stock assumed debt,,54.0,184.0,58.0,
238,52.0,68.0,158.0,,Elisha,Harris,Cranstone,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,158.0,,Funded 3 percent stock assumed debt,,54.0,20.0,13.0,
239,52.0,68.0,159.0,,Olney,Winster,Providence,Merchant,,,,,,,,,,,1792.0,1.0,1.0,159.0,,Funded 3 percent stock assumed debt,,54.0,9.0,5.0,
240,52.0,68.0,160.0,,Thomas and Sarah,Smart,Providence,Guardians,,,,,,,,,,,1792.0,1.0,1.0,160.0,,Funded 3 percent stock assumed debt,,55.0,355.0,17.0,
241,53.0,69.0,161.0,,Caleb,Greene,Providence,Merchant,,,,,,,,,,,1792.0,1.0,1.0,161.0,,Funded 3 percent stock assumed debt,,55.0,38.0,19.0,
242,53.0,69.0,162.0,,Benjamin,Ritchmond,Little Compton,Physician,,,,,,,,,,,1792.0,1.0,1.0,162.0,,Funded 3 percent stock assumed debt,,55.0,55.0,17.0,
243,53.0,69.0,163.0,,Susanna,Barker,Tiverton,Widow,,,,,,,,,,,1792.0,1.0,1.0,,,Funded 3 percent stock assumed debt,,56.0,84.0,77.0,
244,54.0,70.0,164.0,,Thomas,Dufrey,Freetown,Esquire,,,,,,,,,,,1792.0,1.0,1.0,164.0,,Funded 3 percent stock assumed debt,,56.0,51.0,15.0,
245,54.0,70.0,165.0,,Solomon,Sdrown,Providence,Physician,,,,,,,,,,,1792.0,1.0,1.0,165.0,,Funded 3 percent stock assumed debt,,56.0,37.0,65.0,
246,54.0,70.0,166.0,,Charles,Wheaten,Warren,Esquire,1792.0,1.0,1.0,16.0,,William,Allen,95.0,16.0,67.0,1792.0,1.0,1.0,166.0,,Funded 3 percent stock assumed debt,,57.0,16.0,67.0,
247,55.0,71.0,167.0,,Israel,Gorton,Cranstone,Esquire,,,,,,,,,,,1792.0,1.0,1.0,167.0,,Funded 3 percent stock assumed debt,,57.0,26.0,55.0,
248,55.0,71.0,168.0,,Cornwell,Barney,Providence,Blacksmith,1797.0,5.0,19.0,,,Samuel W,Greene,276.0,6.0,39.0,1792.0,1.0,1.0,168.0,,Funded 3 percent stock assumed debt,,57.0,6.0,39.0,
249,55.0,71.0,169.0,,John,Foster,Providence,Esquire,1793.0,1.0,1.0,,,William,Hall,102.0,16.0,57.0,1792.0,1.0,1.0,169.0,,Funded 3 percent stock assumed debt,,58.0,16.0,57.0,
250,56.0,72.0,170.0,,Mary and Ann,Power,Providence,Spinster,,,,,,,,,,,1792.0,1.0,1.0,170.0,,Funded 3 percent stock assumed debt,,58.0,9.0,6.0,
251,56.0,72.0,171.0,,Watson and Greenleaf,,NewYork,,,,,,,,,,,,1792.0,,1.0,171.0,,Funded 3 percent stock assumed debt,,58.0,346.0,35.0,
252,56.0,72.0,172.0,,Ezra,Hubbard,Providence,Trader,,,,,,,,,,,1792.0,1.0,1.0,172.0,,Funded 3 percent stock assumed debt,,59.0,17.0,68.0,
253,57.0,73.0,173.0,,Asher,Robbins,Providence,Esquire,1793.0,1.0,31.0,,,Thomas,Smart,99.0,19.0,68.0,1792.0,1.0,1.0,173.0,,Funded 3 percent stock assumed debt,,59.0,19.0,68.0,
254,57.0,73.0,173.0,,Asher,Robbins,Providence,Esquire,1796.0,1.0,19.0,,,Samuel W,Greene,,15.0,72.0,1795.0,2.0,21.0,,,Imanuel,Case,588.0,15.0,72.0,
255,57.0,73.0,174.0,,Edward,Livingstone,New York,Merchant,1792.0,1.0,16.0,,,Certificate number 9 transferred to the office of John Cochran Commissioner of loans for the State of New York,,102.0,818.0,65.0,1792.0,1.0,1.0,174.0,,Funded 3 percent stock assumed debt,,59.0,818.0,65.0,
256,57.0,73.0,175.0,,Archibald,Crary,East Greenwich,Esquire,1792.0,10.0,25.0,,,John,Jackson,103.0,14.0,24.0,1792.0,1.0,1.0,175.0,,Funded 3 percent stock assumed debt,,60.0,14.0,24.0,
257,58.0,74.0,176.0,,Samuel G,Arnold,Providence,,,,,,,,,,,,1792.0,1.0,1.0,176.0,,Funded 3 percent stock assumed debt,,60.0,15.0,27.0,
258,58.0,74.0,177.0,,Palience,Brown,Late servant of Nicholas Brown,Esquire,,,,,,,,,,,1792.0,1.0,1.0,177.0,,Funded 3 percent stock assumed debt,,60.0,28.0,31.0,
259,58.0,74.0,178.0,,Sandars,Pitman,Providence,Goldsmith,1792.0,6.0,14.0,,,John Ward and co.,,97.0,22.0,11.0,1792.0,1.0,1.0,178.0,,Funded 3 percent stock assumed debt,,61.0,22.0,11.0,
260,59.0,75.0,179.0,,Thomas,Newell,Cumberland,Yeoman,1793.0,2.0,28.0,,,Hoppin and Snow,,394.0,16.0,67.0,1792.0,1.0,1.0,179.0,,Funded 3 percent stock assumed debt,,61.0,16.0,67.0,
261,59.0,75.0,180.0,,Isaac,Eveleth,North Providence,,,,,,,,,,,,1792.0,1.0,1.0,180.0,,Funded 3 percent stock assumed debt,,61.0,27.0,23.0,
262,59.0,75.0,181.0,,Charles,Handy,Newport,Merchant,,,,,,,,,,,1792.0,1.0,1.0,181.0,,Funded 3 percent stock assumed debt,,62.0,92.0,,
263,60.0,76.0,182.0,,John,Templeman,Boston,Broker,1792.0,1.0,30.0,,,Certificate number 15 transferred to the office of John Cochran commissioner of loans for the State of New York,,111.0,210.0,75.0,1792.0,1.0,1.0,182.0,,Funded 3 percent stock assumed debt,,62.0,210.0,75.0,
264,60.0,76.0,183.0,,Godfrey,Wenwood,Newport,Baker,,,,,,,,,,,1792.0,1.0,1.0,183.0,,Funded 3 percent stock assumed debt,,62.0,22.0,63.0,
265,60.0,76.0,184.0,,John,Almy,Tiverton,Esquire,,,,,,,,,,,1792.0,1.0,1.0,184.0,,Funded 3 percent stock assumed debt,,63.0,152.0,94.0,
266,61.0,77.0,185.0,,Catherine,Crawford,Providence,,,,,,,,,,,,1792.0,1.0,1.0,185.0,,Funded 3 percent stock assumed debt,,63.0,126.0,68.0,
267,61.0,77.0,186.0,,Anthony,Steere,Smithfield,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,186.0,,Funded 3 percent stock assumed debt,,63.0,10.0,29.0,
268,61.0,77.0,187.0,,Samuel,Thurber,Providence,Fishmonger,1792.0,6.0,9.0,,,Thomas,Smart,99.0,3.0,50.0,1792.0,1.0,1.0,187.0,,Funded 3 percent stock assumed debt,,64.0,3.0,50.0,
269,62.0,78.0,188.0,,Jeremiah F,Jenkins,Providence,Merchant,,,,,,,,,,,1792.0,1.0,1.0,188.0,,Funded 3 percent stock assumed debt,,64.0,104.0,20.0,
270,62.0,78.0,189.0,,Samuel,Elam,Portsmouth,Esquire,1792.0,5.0,11.0,,,Thomas,Dickason,96.0,23.0,42.0,1792.0,1.0,1.0,189.0,,Funded 3 percent stock assumed debt,,64.0,23.0,42.0,
271,62.0,78.0,190.0,,Stephen,Ayrault,Newport,Merchant,,,,,,,,,,,1792.0,1.0,1.0,190.0,,Funded 3 percent stock assumed debt,,65.0,96.0,72.0,
272,63.0,79.0,191.0,,Henry,Smith,Providence,Distiller,1792.0,2.0,2.0,,,John Ward and co.,,35.0,54.0,63.0,1792.0,1.0,1.0,191.0,,Funded 3 percent stock assumed debt,,65.0,54.0,63.0,
273,63.0,79.0,192.0,,Freelove Colvin and others,,Scituate,,1796.0,3.0,1.0,,,Christopher,Lippit,623.0,48.0,26.0,1792.0,1.0,1.0,192.0,,Funded 3 percent stock assumed debt,,65.0,48.0,26.0,
274,63.0,79.0,193.0,,Constant,Tabor,Newport,Merchant,,,,,,,,,,,1792.0,1.0,1.0,193.0,,Funded 3 percent stock assumed debt,,66.0,22.0,50.0,
275,64.0,80.0,194.0,,Daniel,Trowbridge,Pomfret,Yeoman,1792.0,7.0,23.0,,,Nathan,Bond,101.0,66.0,50.0,1792.0,1.0,1.0,194.0,,Funded 3 percent stock assumed debt,,66.0,66.0,50.0,
276,64.0,80.0,195.0,,Squire,Sessions,Pomfret,Yeoman,1792.0,3.0,1.0,,,William N,Rhodes,97.0,15.0,77.0,1792.0,1.0,9.0,195.0,,Funded 3 percent stock assumed debt,,66.0,15.0,77.0,
277,64.0,80.0,196.0,,Amasa,Sessions,Pomfret,Yeoman,1792.0,12.0,10.0,,,John Lane and Thomas Fraser,,104.0,47.0,33.0,1792.0,1.0,1.0,196.0,,Funded 3 percent stock assumed debt,,67.0,47.0,33.0,
278,65.0,81.0,197.0,,Richard,Fenner,Providence,Esquire,1793.0,5.0,22.0,,,Job,Randall,107.0,72.0,61.0,1792.0,1.0,1.0,197.0,,Funded 3 percent stock assumed debt,,67.0,72.0,61.0,
